uniqueID,Word,cat53_string,size_mean,memorability_cr,recognizability,property_hold_mean,property_hold_SD,property_pleasant_mean,property_pleasant_SD,property_arousal_mean,property_arousal_SD,property_manmade_mean,property_manmade_SD,property_grasp_mean,property_grasp_SD,property_natural_mean,property_natural_SD
dice,dice,game,146.23809519999998,0.8124649853333333,0.931736492625,6.7949,0.4091,4.5385,0.8537,3.836734694,1.490902115,6.7949,0.5703,6.641,0.7776,1.5641,1.0207
yo-yo,yo-yo,game; toy,189.9431818,0.8031291448571428,0.7332988106666666,6.6,0.6945,5.4857,1.2217,3.826086957,1.877401843,6.8286,0.3824,6.4,0.9456,1.4571,0.78
charger,charger,hardware,194.0238095,0.7788679742857143,0.7290728517333334,6.6842,0.5745,4.7105,0.9839,4.404255319,1.439498319,6.5526,1.3294,6.4474,0.8913,1.2105,0.528
key,key,hardware,165.872093,0.7528491226842106,0.9817371364999999,6.8421,0.4366,4.2895,0.5151,4.155555556,1.551473721,6.8158,0.8336,6.7105,0.6939,1.5789,1.0813
lightbulb,lightbulb,hardware; lighting,192.9666667,0.7198429753333334,0.852077206875,6.5135,0.6507,5.1081,0.9364,3.960784314,1.53571852,6.8649,0.3466,6.4324,0.8347,1.3243,0.4746
plug,plug,hardware,170.9875,0.7963240186923077,0.7127521170714285,6.4737,0.6872,4.3684,0.8517,4.29787234,1.381789854,6.8684,0.3426,6.5,0.6472,1.4737,0.8297
thermometer,thermometer,hardware; scientific equipment,192.0581395,0.7638215336666666,0.7949324934615384,6.4167,0.9964,4.7222,0.9445,4.075471698,1.5793018980000002,6.8611,0.3507,6.4444,0.7725,1.6944,1.1419
abacus,abacus,home decor,241.7058824,0.7984847327142858,0.8108571389999999,5.4359,1.1424,4.7436,0.9925,4.081632653,1.777600615,6.8718,0.4091,5.5128,1.0481,2.2051,1.3607
curtain,curtain,home decor,303.9888889,0.7100570106666666,0.7047971636923076,6.1944,1.0091,5.0833,1.079,3.622222222,1.450531077,6.8056,0.4014,6.3333,0.8944,2.5,1.5399
frame,frame,home decor,262.6590909,0.7575586676666667,0.8439102563846154,6.1579,1.0274,4.8421,1.0533,4.02173913,1.4218787330000002,6.6316,0.7857,5.8947,1.2256,2.3684,1.5143
globe,globe,home decor,248.9555556,0.7653141375833333,0.9350966027692308,5.2222,1.1241,4.9444,0.9545,3.862745098,1.600245079,6.8056,0.4672,4.9722,1.3199,1.5278,0.8779
pinecone,pinecone,home decor,193.7738095,0.7624152205833333,0.7331446583846154,6.4359,0.7879,5.3077,1.0798,4.4,1.4846149780000002,1.3077,0.9502,6.3846,0.9351,6.8462,0.3655
necklace,necklace,jewelry,184.2325581,0.731943622,0.7435846935,6.5278,0.6088,5.9722,0.8447,3.760869565,1.791148392,6.8056,0.4672,6.3056,0.7491,2.4722,1.5581
funnel,funnel,kitchen tool; scientific equipment; tool,211.326087,0.7738879915,0.8915597223846153,6.7027,0.5708,4.4324,0.9292,3.934782609,1.388879227,6.7297,0.7691,6.6486,0.6332,1.3243,0.5799
peeler,peeler,kitchen tool; tool,197.744186,0.7998688085384615,0.7916582659285715,6.5714,0.6081,4.6857,1.0784,4.11627907,1.366422202,6.5143,1.1472,6.5429,0.7005,1.5714,1.0924
spoon,spoon,kitchen tool; tool,189.7738095,0.7994339682307692,0.9651277515,6.8919,0.3148,4.8649,0.9764,4.333333333,1.202977336,6.7568,0.863,6.8378,0.4418,1.5676,1.0939
timer,timer,kitchen tool; scientific equipment,201.627907,0.7653240139166666,0.7428943302307692,6.6667,0.5298,4.1026,1.2523,4.14893617,1.744291602,6.8718,0.5221,6.4359,0.9402,1.3077,0.4676
lighter,lighter,lighting; tool,177.79787230000002,0.8084400153333333,0.83818835775,6.725,0.5541,4.675,1.328,4.477272727,1.248042865,6.7,1.067,6.7,0.6076,1.35,0.7355
match,match,lighting; tool,151.9545455,0.828895590076923,0.7053070587857143,6.5789,0.6423,4.4211,0.7929,4.170212766000001,1.464346552,6.6053,0.9165,6.3684,0.9704,2.2368,1.5145
first-aid_kit,first-aid kit,medical equipment,237.27380950000003,0.7673022514166666,0.8370852876153846,6.4737,0.7618,4.7895,1.3588,4.11627907,1.5462597319999998,6.7368,0.8909,6.1579,1.0007,1.8421,1.1974
ice_pack,ice pack,medical equipment,206.5681818,0.8630705168333334,0.7198395873076924,6.0263,1.1965,4.6053,1.0011,4.094339623,1.98323891,6.7368,0.6011,6.0526,1.0641,2.2368,1.4966
inhaler,inhaler,medical equipment,186.1,0.8536416344166667,0.9021488632307691,6.7105,0.4596,4.3947,1.242,4.106382979,1.671162607,6.6316,1.0246,6.6053,0.5945,1.5789,1.056
stethoscope,stethoscope,medical equipment; scientific equipment,214.0232558,0.7935165266666666,0.9334502428461539,6.5263,0.7618,4.5789,1.0301,3.979166667,1.604376771,6.6053,0.8865,6.4211,0.9482,1.6842,1.2757
bagpipe,bagpipe,musical instrument,268.93478260000006,0.7654029442,0.7559541255,5.4865,1.0703,4.8649,1.4174,4.285714286,1.56619337,6.7838,0.4793,5.2432,1.2112,2.1892,1.4689
bell,bell,musical instrument,203.0425532,0.765718958,0.9732129298888889,5.1622,1.0412,5.2432,1.0112,4.239130435,1.551841667,6.7838,0.5838,5.1892,1.1264,1.7568,1.0905
guitar,guitar,musical instrument,276.7604167,0.7721659192352942,0.9060529838888889,6.0513,0.9986,5.8205,0.914,3.1363636360000005,1.773066049,6.8718,0.4091,5.8974,1.1875,2.1795,1.5021
